date,Price_Monthly_Avg,TAVG_Monthly_Avg
3/31/2007,1365.562903,84.56451613
4/30/2007,1318.133,83.8
5/31/2007,1422.788065,80.26344086
6/30/2007,1411.684667,79.74444444
7/31/2007,1527.684194,70.6344086
8/31/2007,1411.230323,60.59677419
9/30/2007,1292.054333,47.01666667
10/31/2007,1420.572258,2.483870968
11/30/2007,1442.347667,8.2
12/31/2007,1363.31,24.25806452
1/31/2008,1572.539677,36.30645161
2/29/2008,1827.053103,60.74137931
3/31/2008,1722.842258,64.79032258
4/30/2008,1927.442,77.61666667
5/31/2008,1822.000968,2.64516129
6/30/2008,2115.232,31.84888889
7/31/2008,2191.441613,78.89011777
8/31/2008,1903.867419,78.38310292
9/30/2008,1964.573,79.31944444
10/31/2008,1671.043871,41.65053763
11/30/2008,1378.482,54.91415344
12/31/2008,1743.738065,81.94953917
1/31/2009,1778.906774,82.70125448
2/28/2009,1891.132857,83.63762755
3/31/2009,1781.270645,67.8078469
4/30/2009,1788.616333,71.75234127
5/31/2009,1600.475161,82.49665899
6/30/2009,1980.267,80.19202381
7/31/2009,2071.003548,78.15736047
8/31/2009,2002.902258,77.31263441
9/30/2009,2304.766667,78.62130952
10/31/2009,2393.38871,79.49870712
11/30/2009,2368.891,81.29185185
12/31/2009,2482.157097,80.47955709
1/31/2010,2274.272903,82.73453661
2/28/2010,2340.390357,84.60042517
3/31/2010,2292.318065,82.06785714
4/30/2010,2254.866333,79.32493386
5/31/2010,2050.635806,80.70482591
6/30/2010,2369.276667,80.52150794
7/31/2010,2291.936129,70.87319508
8/31/2010,2179.925806,78.25967742
9/30/2010,2108.281667,78.6321164
10/31/2010,1983.115806,80.53990015
11/30/2010,2134.227667,81.17914021
12/31/2010,2270.338065,82.08312852
1/31/2011,2041.847097,79.00083205
2/28/2011,2480.192857,77.91921769
3/31/2011,2517.362581,84.37526882
4/30/2011,2089.578,83.95363757
5/31/2011,2080.195161,82.46021505
6/30/2011,2211.468333,77.11328042
7/31/2011,2145.511613,75.10743728
8/31/2011,2273.519032,74.18845366
9/30/2011,2107.515,78.52527778
10/31/2011,1815.513226,74.94071941
11/30/2011,1853.446,81.41034392
12/31/2011,1488.185484,76.34974398
1/31/2012,1563.226452,81.30962622
2/29/2012,1706.242759,73.52367269
3/31/2012,1674.306774,75.52136457
4/30/2012,1511.188333,82.65583333
5/31/2012,1716.79,78.21199437
6/30/2012,1584.946667,65.75794974
7/31/2012,1667.613226,54.92876344
8/31/2012,1863.935484,59.32085253
9/30/2012,1746.856,78.01285714
10/31/2012,1827.784516,53.56893241
11/30/2012,1817.320667,59.90912698
12/31/2012,1555.059677,81.75224014
1/31/2013,1614.825806,82.50741167
2/28/2013,1569.788571,83.83837868
3/31/2013,1389.263871,84.00883257
4/30/2013,1682.625,83.20328042
5/31/2013,1664.710968,81.79242192
6/30/2013,1522.389,79.56843915
7/31/2013,1712.779677,77.39203789
8/31/2013,1762.56,76.65805172
9/30/2013,1831.236,78.19940476
10/31/2013,2026.000968,77.27208141
11/30/2013,1928.621333,81.39412698
12/31/2013,1913.396452,80.48102919
1/31/2014,2000.885161,76.56707629
2/28/2014,2138.831429,82.16621315
3/31/2014,2060.483871,82.47420635
4/30/2014,2135.429333,74.26691799
5/31/2014,2052.577097,81.97292627
6/30/2014,2222.029333,77.07089947
7/31/2014,2371.255806,77.79668459
8/31/2014,2215.343548,76.81656426
9/30/2014,2361.913667,77.84547619
10/31/2014,2300.613548,79.44832309
11/30/2014,1939.394,80.73228836
12/31/2014,2098.984516,81.61418331
1/31/2015,1978.778065,62.87254224
2/28/2015,2104.875,82.9401644
3/31/2015,2045.455161,80.59558372
4/30/2015,2007.792333,83.32220899
5/31/2015,1997.418065,82.32676651
6/30/2015,2375.282333,79.14062169
7/31/2015,2467.648065,78.29150026
8/31/2015,2135.936774,77.72083973
9/30/2015,2404.200333,78.87982804
10/31/2015,2269.762581,80.4516129
11/30/2015,2352.588333,73.73809524
12/31/2015,2374.332903,81.45300819
1/31/2016,1904.787097,75.23341014
2/29/2016,2111.851034,68.07590312
3/31/2016,2181.206452,84.47872504
4/30/2016,2154.946667,84.47181217
5/31/2016,2099.09129,82.16236559
6/30/2016,2289.845667,79.62862434
7/31/2016,2066.112258,78.43205325
8/31/2016,2250.426129,77.48315412
9/30/2016,2112.870667,78.78265873
10/31/2016,1836.720645,77.98927291
11/30/2016,1833.684667,77.13165344
12/31/2016,1549.80129,55.42489759
1/31/2017,1487.514194,82.64715822
2/28/2017,1452.915357,84.20311791
3/31/2017,1526.755161,83.65079365
4/30/2017,1242.066333,83.26592593
